Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B,PosMSMSALL-WT_A,PosMSMSALL-WT_A,PosMSMSALL-WT_B,PosMSMSALL-WT_B
"GT3 26:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",34,0,27,0,53.99,53.9761,26.9795,46.9672,26.9965,40.9779,0,41,27,0,0,0,0,0,0,0,0,0,34,33.9985,34,41,27,27,27,0,27,27,0,0,0,0,0,0,0,0
GT3 26:4;2 (LCB 18:0;2-H2O),14.5759,14.5759,0,0,0,25.014,31.7666,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9766,0,0,0,0,0,0
GT3 26:3;2 (LCB 18:0;2-2H2O),34,54,41,64.8792,34,0,34,27,34,30.0701,34,0,37.8792,23.0701,37.0868,28.7107,27,34,47,27,61,0,30.0794,49.3896,40.5242,21.6676,81,54,0,0,28.8773,0,0,20.7814,27,34,68,60.9681,41,68
"GT3 26:2;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",304.3403,358,493.2702,453,799.8233,662.2718,569.6339,595.2521,514.2737,591.6684,647.0063,561.4104,399.2702,426,446,399,162,156,169,230,412,602,365.3403,487.3418,535.6561,399.4104,581.2702,467.2702,304.2702,338,325.2702,342.6386,0,0,0,0,379,466,352,358
"GT3 26:2;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",40.159,54,46.3026,47,88,95,67.7128,101,60.5436,88,68,68,46.1111,67.1596,33.3028,40.8529,0,27,27,0,54,54,47,52.1437,60.5201,49.4484,54,41,26.7475,26.7128,27,54,0,0,0,0,41,54,47,41
GT3 26:3;2 (LCB 17:0;2-2H2O),26.6895,41,54,34,54,47,27,54,27,47,54,41,0,0,0,27,27,0,0,0,41,34,41,27,27,46.8448,0,0,0,0,0,34,0,0,0,0,0,34,0,27
"GT3 26:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",75.8932,154.157,131.9271,19.0646,0,0,0,0,58.9686,0,0,0,280.4501,142.4382,145.0503,239.8118,165.3878,188.1745,173.7724,72.0394,197.3877,238.2249,257.1601,188.6936,111.3334,277.1514,213.8204,306.7313,84.5425,10.5449,0,4.1339,0,0,0,0,34.1997,106.6624,0,12.157
"GT3 26:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",1.6527,0,0,1.2512,0,0,0,0,0,0,0,0,35.6923,0,62.7179,7.012,27,7.5759,14.5759,47,0,17.4162,15.2512,2.8305,0,0,44.4162,17.6823,0,0,20.5759,0,0,0,0,0,0,11.4162,0,0
GT3 27:4;2 (LCB 18:0;2-2H2O),25.7693,0,0,0,0,0,0,0,32.7693,45.9116,0,0,32.6289,35.8351,12.8463,0,0,0,0,0,0,0,0,32.2123,72.5332,55.7249,0,0,0,0,0,0,41,44.4855,0,0,0,0,0,0
GT3 28:3;2 (LCB 18:0;2-H2O),26.9911,0,0,0,0,0,4.4775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT3 28:2;2 (LCB 18:0;2-H2O),0.279,0,0,0,0,0,13.3055,35.3848,0,0,0,0,0,0,0,0,0,0,0,11.6798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 26:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",7,41,6,14,0,0,13,14,27.0114,0,30.9851,17.4568,0,0,0,34,0,0,0,0,32.8509,47,47,14,18.8509,0,8.4763,20,0,0,0,0,0,0,0,0,68.0114,54.4877,27.5286,27.4877
"GT3 29:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",20.7921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 30:3;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",26.8861,0,0,0,0,0,0,0,0,34,0,0,28.3635,13,34,0,0,0,0,0,0,0,27,0,28.797,14.6892,0,0,0,0,0,0,27,14,0,0,0,0,0,0
GT3 30:2;3 (LCB 18:0;2-H2O),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT3 30:1;3 (LCB 18:0;2-2H2O),41,27,34,41,0,0,0,0,0,33.9984,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,68,68,47
GT3 30:0;3 (LCB 18:0;2-2H2O),20,41,20,47,27,0,0,27,68,7.0016,54,34,0,0,0,0,0,27,7,0,0,27,7.2139,7,0,0,41,27,0,0,0,0,10.9127,0,54,0,54,55.1653,49.1653,56.3201
GT3 32:4;2 (LCB 18:0;2-H2O),20.5286,7,6,54,0,0,0,18.7563,0,0,0,0,0,27,0,0,0,0,41,20,0,0,27,27,0,0,0,0,0,0,0,0,41,0,0,34,0,0,27,34
GT3 32:4;2 (LCB 18:0;2-2H2O),0.2585,10.6317,0,0,0,0,0,0,0,23.0022,0,0,0,0,0,0,0,0,0,13,0,0,1.7747,6.5192,0,0,0,0,0,0,0,0,0,0,4.6018,20,0,0,19.5033,3.2616
GT3 32:4;2 (LCB 18:0;2-H2O),4.3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 32:2;3 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 31:1;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",142,230,237,176,270,0,196,189,210,142,142,169,0,0,0,0,169,0,0,0,183,222.9633,142,142,169,155,169,223,0,0,257,304,41,0,54,47,135,196,100.349,108
GT3 32:0;3 (LCB 18:0;2-H2O),25.308,27,0,0,0,0,59.6314,60.9977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
GT3 32:1;3 (LCB 17:0;2-2H2O),27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0
"GT3 31:0;4 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
GT3 34:4;2 (LCB 18:0;2-H2O),28.529,20,34,41,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,54,34,0,34,0,0,0,0
"GT3 34:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",27.3624,34,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,27,34
"GT3 34:1;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",14,14,7,0,34,0,0,0,41,0,0,41,0,0,0,0,0,0,0,41,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,47,31.1016,41,0,7
GT3 34:1;3 (LCB 18:0;2-2H2O),95,61,68,81,41,27,27,0,115,57.5451,88,68,0,0,0,0,27,0,0,0,27,0,0,0,0,27.0414,0,34,0,0,0,0,27,41.7529,30.5446,41,108,135,122,169
"GT3 34:0;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",20,13,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 34:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",45.9901,0,0,0,0,0,0,0,0,27,27,47,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27,24.824,0,27,0,0,0,7,0
GT3 34:0;3 (LCB 18:0;2-H2O),68,54,41,34,0,0,39.555,23.7624,27,0,0,0,0,0,0,0,0,0,0,51.7983,0,0,0,0,0,0,0,0,0,0,0,0,23.7364,24.7983,41,0,0,0,34,41
GT3 34:0;3 (LCB 18:0;2-2H2O),62.9928,46.2585,67,32.5728,13,22.5243,7,41,0,28.3119,7,20,26.6892,27.3574,33.5282,4.7751,7,0,0,0,7,5.9443,54,40.6892,26.459,0,34,34,0,29.21,27,27,44.6708,38.9571,52.7879,18.9443,48.0971,15.6213,51.5171,12.3556
GT3 36:4;2 (LCB 18:0;2-H2O),0,0,50.0583,27,27,0,0,30.0068,0,27,27,27,34,27,27,41,0,0,38.4463,29.0447,27,0,34,34,27,0,0,0,0,0,0,0,19.4815,22.0447,0,61,0,0,0,0
"GT3 37:4;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",47,0,34,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,41
GT3 38:4;3 (LCB 18:0;2-2H2O),47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 38:2;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",27,27,0,27,0,0,0,0,27,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,68,34,0,0,0,0,0,0,34,0,0,0,0,41,41,26.9922
GT3 37:3;4 (LCB 18:0;2-H2O),27,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT2 27:4;2 (LCB 18:0;2-2H2O),48,74,115,80.704,27,27,0,27,68,95,68,54,0,0,0,0,0,0,0,0,41,0,0,27,0,41,27,0,0,0,0,54,27,34,47,7,88,135,95,61
GT3 37:2;4 (LCB 18:0;2-H2O),20,47,47,0,0,0,73.8017,41,0,0,0,0,0,0,0,34,0,0,34,54,0,0,0,27,0,0,0,0,0,0,0,0,41,61,41,0,0,0,47,41
GT2 27:3;2 (LCB 18:0;2-2H2O),11.5757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
GT2 26:0;3 (LCB 18:0;2-H2O),19.1123,2.9173,22.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT2 28:2;2 (LCB 18:0;2-H2O),17.8168,5.7662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT2 30:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 26:4;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0,27,54,33.9938,60.9689,60.9641,0,26.9938,27,33.9938,40.9922,40.9922,54,0,27,27,34,0,33.9611,0,0,47,40.9938,47,61,61,114.9689,100.986,0,27,41,0,0,0,0,0,26.9938,27,0,0
"GT3 26:3;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT3 26:0;2 (LCB 18:0;2-2H2O),0,5.4277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,20.0523,26.0976,0,0,0,0,0,0,0,0,0,0
"GT3 27:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,15.3281,0,0,0,0,0,0,22.5467,0,0,0,11.0543,4.4048,0,27.1535,0,0,0,0,0,0,13.6437,16.1791,2.9876,35.1369,0,0,25.0326,25.0351,0,0,0,41.5445,0,0,0,0,0,0
GT3 28:4;2 (LCB 18:0;2-H2O),0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7972,11.7114,0,0,0,0,0,0,0,0,0,0,0,0,26.9628,34,20.2675,0,0,0,0,0
GT3 28:0;2 (LCB 18:0;2-2H2O),0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 28:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 30:3;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0,34,27,41,41,27,0,0,61,47.5449,67.7104,41,11.4998,27,0,41,0,0,0,27,47,61,54,41,47,0,0,68,7,0,25.8509,0,0,0,0,0,88,95,46.9969,74
GT3 30:2;2 (LCB 18:0;2-H2O),0,27,0,0,0,0,28.7796,20.6296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT3 31:0;2 (LCB 18:0;2-H2O),0,27,41,0,0,0,54,34.6383,0,0,27,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,27,0,0,0
"GT3 32:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,31.365,25.365,34,21.3114,0,41,34,18.365,0,0,27,0,0,0,0,27,0,0,0,27,34,0,0,2.5522,15.6753,0,10.7859,0,0,34,41,0,0,0,0,0,0,0,0
GT2 26:2;3 (LCB 18:0;2-2H2O),0,1.6748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4879,0
GT2 26:2;3 (LCB 18:0;2-H2O),0,26.0947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,0,0,2.6571
GT2 26:0;3 (LCB 18:0;2-2H2O),0,29.4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT3 40:0;2 (LCB 18:0;2-H2O),0,5.9478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 26:2;2 (LCB 18:2;2-2H20,LCB 18:1;3-3H2O)",0,0,20,0.0062,0,19.2874,27,14.0062,14,0,0.0078,0,0,54,41,0,0,0,0,0,41,0,0,0,33.267,34,0,0,0,7,0,0,0,0,0,0,7.0062,0,0,0
GT3 26:0;2 (LCB 18:0;2-H2O),0,0,41,0,0,0,19.8509,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,26.9956,0,0
GT3 27:4;2 (LCB 18:0;2-H2O),0,0,4.5382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 30:1;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 30:4;3 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0,0,25.7916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 40:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,23.4291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 42:1;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,27.0412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT3 30:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,41,0,0,0,0,41,0,0,0,0,14.9954,47,0,0,0,0,0,0,27,26.8435,34,20.4065,27.1461,0,0,0,0,0,0,0,6.0043,0,0,7,54,0,0
"GT3 34:0;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GT2 27:4;2 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
"GT2 27:4;2 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0,0,0,7,0,27,0,0,0,26.9922,0,0,0,0,0,0,0,0,0,0,26.9922,0,34,7,0,0,0,0,0,0,0,0,7,54,0,0,27,0,0,0
